Origen,Destino
SANTIAGO CENTRO,SANTIAGO CENTRO
SANTIAGO CENTRO,CONCEPCION
CONCEPCION,SANTIAGO CENTRO
VINA DEL MAR,SANTIAGO CENTRO
SANTIAGO CENTRO,VALDIVIA
SANTIAGO CENTRO,VINA DEL MAR
VALDIVIA,SANTIAGO CENTRO
SANTIAGO CENTRO,LA SERENA
SANTIAGO CENTRO,PUERTO MONTT
CONCEPCION,CONCEPCION
LA SERENA,SANTIAGO CENTRO
SANTIAGO CENTRO,RANCAGUA
VINA DEL MAR,CONCEPCION
RANCAGUA,SANTIAGO CENTRO
CONCEPCION,VALDIVIA
CONCEPCION,VINA DEL MAR
VALDIVIA,CONCEPCION
PUERTO MONTT,SANTIAGO CENTRO
SANTIAGO CENTRO,COPIAPO
VINA DEL MAR,VALDIVIA
VINA DEL MAR,VINA DEL MAR
VINA DEL MAR,LA SERENA
CONCEPCION,PUERTO MONTT
VALDIVIA,VALDIVIA
SANTIAGO CENTRO,ANTOFAGASTA
COPIAPO,SANTIAGO CENTRO
CONCEPCION,RANCAGUA
SANTIAGO CENTRO,PUNTA ARENAS
SANTIAGO CENTRO,ARICA
SANTIAGO CENTRO,COYHAIQUE
SANTIAGO CENTRO,IQUIQUE
